name,date,diameter_m,velocity_km_s,miss_distance_km,eccentricity,hazardous
(2021 RL7),2024-01-13,13.1837809565,7.6279487968,12143688.658008724,0.0,0
(2021 VB2),2024-01-13,12.765563162,7.4472548946,11668026.657205457,0.0,0
(2023 QS4),2024-01-13,28.7104486255,4.6750742181,18979408.299386043,0.0,0
(2024 AR1),2024-01-13,36.6471308439,4.5305212573,3835831.774052666,0.0,0
(2024 AW2),2024-01-13,32.3623446563,6.743647059,4189545.809891867,0.0,0
(2024 AP3),2024-01-13,80.5452583346,15.0854424673,12631248.671086062,0.0,0
(2024 AD4),2024-01-13,64.8694146035,13.1227115124,8339548.758881735,0.0,0
(2024 BV),2024-01-13,19.4106455316,18.5058921612,2160514.72862263,0.0,0
(2024 BY1),2024-01-13,42.8587972046,13.3564200951,3047049.149354272,0.0,0
(2005 BH14),2024-01-12,306.2245314272,17.4495318432,48698372.00450965,0.0,0
(2017 UN1),2024-01-12,66.6868154623,13.0426814168,10739110.531591762,0.0,0
(2018 AN2),2024-01-12,65.1688382168,11.4163377737,21355510.119162884,0.0,0
(2019 UY8),2024-01-12,60.5396601689,9.8215415881,55860843.343460545,0.0,0
(2022 BS4),2024-01-12,48.9823907803,20.7565968087,59741004.22762778,0.0,0
(2024 AP),2024-01-12,227.0073812845,20.2675148764,13269037.019426728,0.0,0
(2024 AP1),2024-01-12,52.2444280149,5.3689614427,16901608.073140215,0.0,0
(2024 AR2),2024-01-12,30.905799213,19.1948560058,1267189.536979143,0.0,0
(2024 AW3),2024-01-12,264.2652014216,20.8701158538,19419727.264849477,0.0,0
(2024 BF2),2024-01-12,43.4550224647,7.5410216162,11219167.972132007,0.0,0
430804 (2005 AD13),2024-01-14,1570.5073699984,29.0073805759,20388990.938307904,0.0,1
456946 (2008 AF32),2024-01-14,325.1172245215,15.4778719676,38618382.19328461,0.0,0
(2011 YJ28),2024-01-14,323.623446563,14.2395096415,20141228.786067706,0.0,1
(2013 YM2),2024-01-14,43.0566244241,9.8596336581,28231576.50055643,0.0,0
(2016 CL18),2024-01-14,97.2836773688,14.6687669813,13597914.457853641,0.0,0
(2018 UM1),2024-01-14,111.1834071935,6.6929907938,51695393.4719266,0.0,0
(2018 XC),2024-01-14,43.0566244241,12.7104710087,47704272.87058275,0.0,0
(2019 GE1),2024-01-14,23.6613750114,5.8690665704,33397350.73714138,0.0,0
(2021 KB),2024-01-14,37.1569432173,18.1726671553,27918436.817892667,0.0,0
(2022 SL49),2024-01-14,159.2355303825,12.2682294818,58705504.7807656,0.0,0
(2023 GM1),2024-01-14,20.7033192345,6.5113340417,42856113.31254581,0.0,0
(2023 WT1),2024-01-14,195.0024100049,10.0020439259,19684446.335654177,0.0,0
(2024 AY),2024-01-14,79.07514169,3.0513785038,25913941.32816149,0.0,0
(2024 AF3),2024-01-14,24.1012728161,6.7371196513,3363542.412349188,0.0,0
(2024 AG3),2024-01-14,17.3796080855,9.7945457908,1698374.116339526,0.0,0
(2024 AZ3),2024-01-14,10.4241338385,10.0188698314,248883.478034571,0.0,0
(2024 AQ4),2024-01-14,41.8832118738,9.7942646898,1245350.80608272,0.0,0
(2024 BE),2024-01-14,92.4783300513,11.365264868,10624155.653698929,0.0,0
(2024 BK),2024-01-14,67.9266159267,15.4591652716,3310172.579357977,0.0,0
(2024 BO1),2024-01-14,54.2050786336,15.6349900254,21310976.164684925,0.0,0
(2024 BV1),2024-01-14,21.4802820076,11.5483679096,3174463.330729416,0.0,0
(2024 BV2),2024-01-14,17.3796080855,5.310223291,3877364.06222886,0.0,0
(2024 CT1),2024-01-14,201.3909630836,12.1032984097,26565413.48342978,0.0,0
168318 (1989 DA),2024-01-08,981.838321526,8.8851478203,17607387.097578034,0.0,1
(2002 AY1),2024-01-08,401.8277992159,17.3391696439,5803016.373182669,0.0,1
(2012 DN31),2024-01-08,94.1976305719,20.2701167347,65568666.23654168,0.0,0
(2017 RJ15),2024-01-08,253.5362011316,11.8586254221,43416265.07868939,0.0,0
(2018 BW5),2024-01-08,229.1078547221,0.5304383801,55417734.736756496,0.0,0
(2018 MH7),2024-01-08,35.8129403019,8.303806334,37444684.27899578,0.0,0
(2018 WA2),2024-01-08,180.3183724451,9.5541519137,12430132.615730776,0.0,0
(2019 TY),2024-01-08,161.4507172686,17.7873971073,43448783.64640447,0.0,0
(2022 AB),2024-01-08,113.2504610618,20.0717047393,73783136.66511002,0.0,0
(2022 BG1),2024-01-08,44.2629116503,13.7148876409,56116108.472152084,0.0,0
(2020 AQ24),2024-01-08,59.9846292283,18.7929519283,38631012.60681062,0.0,0
(2022 YD6),2024-01-08,86.70416872,15.9068705545,33735239.56230263,0.0,0
(2023 UO9),2024-01-08,205.1351006288,4.7821343801,10059756.9835435,0.0,0
(2024 AD2),2024-01-08,30.7637999642,7.2696639354,4831184.612929102,0.0,0
(2024 AC3),2024-01-08,52.9712204056,21.5014106722,1562543.065125211,0.0,0
(2024 AX3),2024-01-08,17.3796080855,5.5102201908,1844629.177055015,0.0,0
(2024 BM1),2024-01-08,36.9862225707,7.3187294357,5465304.567180989,0.0,0
(2024 MM),2024-01-08,74.8238376074,7.7347596114,29701855.64783105,0.0,0
(2012 MP),2024-01-09,363.1114792885,9.2140373525,71411544.78727986,0.0,0
(2013 FC11),2024-01-09,492.0848322348,13.8060458064,73404426.26133338,0.0,0
(2017 QP17),2024-01-09,714.5621017269,20.4028017464,58688124.05143539,0.0,0
(2022 YS5),2024-01-09,63.9793728683,5.8999695641,8646331.115502194,0.0,0
(2023 XN13),2024-01-09,13.868834919,1.4377221889,6032641.279664068,0.0,0
(2024 AS1),2024-01-09,20.4192590455,16.7850967942,579850.46959007,0.0,0
